scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 2,alg1,13.82,415806,421672,421672,210.84,6.43,3.27,7.63,54.74,24.58,193,6,4,35,58.81,1583,23,150,6,1570
scenario 2,alg1,13.51,421672,426506,413027,206.51,6.32,3.26,7.61,54.21,25.81,202,13,4,65,58.91,1527,34,145,10,1507
scenario 2,alg1,14.97,413027,418660,418660,209.33,7.05,3.27,7.63,55.53,28.3,202,12,7,33,59.49,1545,21,143,37,1520
scenario 2,alg1,14.25,418660,424966,424966,212.48,6.56,3.26,7.62,54.73,25.53,46,144,8,31,58.51,1711,15,8,37,1527
scenario 2,alg1,14.77,424966,435759,435759,217.88,6.61,3.24,7.59,55.56,25.64,34,145,10,0,58.69,1729,13,4,65,1545
scenario 2,alg1,15.86,435759,446450,446450,223.22,6.91,3.27,7.63,56.4,28.49,21,143,37,0,59.52,1747,12,7,33,1711
scenario 2,alg1,16.42,446450,450829,450829,225.41,7.16,3.25,7.61,57.96,26.05,15,8,37,0,58.95,1757,144,8,31,1729
scenario 2,alg1,16.19,450829,453658,452179,226.09,7.0,3.25,7.61,57.7,27.1,18,5,63,2,59.1,1756,145,10,1,1733
scenario 2,alg1,14.94,452179,454906,454906,227.45,6.46,3.27,7.62,58.71,25.62,13,7,34,1,59.64,1766,143,35,1,1748
scenario 2,alg1,16.09,454906,459290,459290,229.65,6.85,3.25,7.6,56.56,25.21,143,7,32,0,59.7,1770,11,35,2,1756
scenario 3,alg1,7.15,196187,227191,227191,75.73,6.27,3.33,7.69,40.95,26.6,408,353,364,258,53.23,492,380,368,377,237
scenario 3,alg1,8.14,227191,257737,257737,85.91,6.23,3.33,7.69,42.34,26.73,403,347,383,123,53.58,626,379,362,377,373
scenario 3,alg1,9.97,257737,287724,287724,95.91,6.91,3.31,7.66,43.91,26.31,393,337,368,0,54.07,772,357,387,386,492
scenario 3,alg1,11.4,287724,318302,318302,106.1,6.98,3.3,7.65,44.25,26.37,380,368,377,0,54.98,900,353,364,258,626
scenario 3,alg1,12.22,318302,348388,348388,116.13,6.78,3.31,7.67,44.68,26.24,379,362,377,0,55.64,1029,347,383,123,772
scenario 3,alg1,11.6,348388,377108,377108,125.7,5.96,3.3,7.65,44.63,26.38,357,387,386,0,55.66,1165,337,368,0,900
scenario 3,alg1,14.47,377108,406042,406042,135.35,6.75,3.3,7.65,46.46,26.71,353,364,258,0,55.97,1280,368,377,0,1029
scenario 3,alg1,14.11,406042,433969,433969,144.66,6.3,3.29,7.64,47.77,26.84,347,383,123,0,56.09,1408,362,377,0,1165
scenario 3,alg1,16.17,433969,460741,460741,153.58,6.79,3.29,7.64,49.36,26.32,337,368,0,0,56.43,1522,387,386,0,1280
scenario 3,alg1,17.0,460741,487510,487510,162.5,6.75,3.31,7.66,49.51,26.36,368,377,0,0,57.15,1633,364,258,0,1408
scenario 3,alg1,18.72,487510,513252,511279,170.43,7.08,3.32,7.67,49.83,26.13,360,375,1,2,57.56,1748,389,122,3,1509
scenario 3,alg1,19.21,511279,537286,537286,179.1,6.94,3.31,7.66,49.59,26.4,389,383,0,2,57.65,1851,370,2,3,1625
